Year Month Tmax Tmin PAR Prec CO2 O3
1200-1948 1 5.60147732040146 -0.143735092381835 78.3205475929385 590.811702298387 304.8328305881 0
1200-1948 2 10.7951278700523 2.28717594240106 229.23808712792 21.9774775402209 304.89121413196 0
1200-1948 3 11.7658337896635 4.28125333814472 241.478590392749 211.599035193199 304.949671530281 0
1200-1948 4 10.6288438419269 2.95885755021209 286.366852134056 219.717735714476 305.008203090867 0
1200-1948 5 16.8549421971509 6.56762676102151 458.334758006332 79.0771909254051 305.066809122567 0
1200-1948 6 23.4303287786653 10.0400787978599 653.78383575515 28.1448711347844 305.125489932601 0
1200-1948 7 29.1754561373364 13.198104686628 755.34461366902 4.95687412706728 305.184245830169 0
1200-1948 8 23.0883178722302 10.2405273456732 593.087412625249 31.3416806781867 305.243077122141 0
1200-1948 9 23.3801355929182 10.3632883559222 448.558950315175 8.41635930204429 305.301984118181 0
1200-1948 10 21.213916075417 10.4922330781789 304.434144035628 44.1983669566872 305.360967125045 0
1200-1948 11 10.8489182530385 6.13002259645458 79.313944212746 477.058786475535 305.420026452048 0
1200-1948 12 6.3247694442159 -0.445011151827566 116.646380316082 311.974787256915 305.479162406758 0
1949 1 2.80751557122312 -3.84544118516447 92.2784765927916 419.570806494963 305.538375297212 0
1949 2 5.51499291494518 0.052722156779326 106.007795088413 21.9774775402209 305.59766543156 0
1949 3 9.37928193354262 2.25428815012999 191.697899532368 443.173016234559 305.657033118303 0
1949 4 9.95229719530987 2.57901592529556 237.31635678114 293.005340913251 305.716478665709 0
1949 5 11.6729226268884 2.96714165024275 362.674796003766 189.789026759203 305.77600238123 0
1949 6 15.8316143437734 4.44648971666489 591.822839150631 15.1415201895281 305.835604573949 0
1949 7 26.7992806874591 12.7506457643585 656.583243736826 17.7176169291041 305.895285550854 0
1949 8 27.2426030063453 13.4195748311869 601.395841462147 24.7129119941767 305.955045621144 0
1949 9 22.6742497427871 9.68314561906562 478.221982185823 3.49851676141869 306.014885092853 0
1949 10 18.5444762221591 8.16797189485064 287.292708311838 52.3118120589814 306.074804274016 0
1949 11 9.96089371624429 4.02823746714799 76.7009434842962 606.883552456221 306.134803472436 0
1949 12 7.42981112573293 2.78582566647185 59.9718453280557 500.923710767389 306.194882996497 0
1950 1 10.4663741356547 3.92529113240998 104.711383239855 248.225434001535 306.25504315435 0
1950 2 5.22610722414759 -1.31781836357383 156.688962084883 264.534175256646 306.315284254262 0
1950 3 10.6538491978767 3.31424697186803 198.76483252676 217.970975136602 306.375606604386 0
1950 4 13.613528623708 5.27221047122892 297.787383274398 192.178279151244 306.436010512523 0
1950 5 17.9508948323693 7.66573525120312 438.426025578845 67.4893438466276 306.496496287175 0
1950 6 18.2425972275035 6.95927486914692 563.94038076817 23.1682290236846 306.557064236724 0
1950 7 27.2544470840979 12.9114429871894 655.634284932115 22.1411246699324 306.61771466909 0
1950 8 23.6298858312323 10.7734426273987 555.993833167413 32.1596302700094 306.678447892074 0
1950 9 22.7423367928228 9.7328987850506 471.407592747668 51.0825782406339 306.739264214528 0
1950 10 13.3633362831587 5.35596363795948 178.329511800426 284.325261752421 306.80016394367 0
1950 11 8.42286721675064 2.57816840093066 100.091752846872 243.6420549634 306.86114738835 0
1950 12 8.33362304940278 2.91155777553937 51.5918256331163 696.167206270063 306.922214856721 0
1951 1 11.3085585388696 6.13349765579466 75.3069643397978 495.583324783312 306.983366657281 0
1951 2 9.18380692205511 2.14613448686236 149.512376561928 212.83042510452 307.044603096903 0
1951 3 7.38602947545558 0.62753258679829 180.611802028399 397.448407664792 307.105924485018 0
1951 4 14.4376059088006 4.0016514460852 405.64392008203 148.900892000447 307.167331128963 0
1951 5 14.3847287450051 5.23401677818037 400.423724217982 64.9103442657311 307.22882333782 0
1951 6 19.3994474295835 7.13512071905376 577.036341140515 22.8653628462767 307.290401419043 0
1951 7 27.3208974681314 12.0895945292236 722.607033528338 11.7436132926853 307.352065680665 0
1951 8 24.1332048729884 10.3747210786517 641.775971631701 25.2758465583501 307.413816430955 0
1951 9 23.5554593867216 11.0221455114212 441.077816217202 23.0124411219486 307.475653978763 0
1951 10 14.5666352707131 5.62426129743277 252.337720555648 113.352110156328 307.537578631192 0
1951 11 11.4960553735066 4.807085209383 127.645140857646 322.983482612403 307.599590697442 0
1951 12 8.92519311719401 3.14045896864255 84.7992129898486 466.174500104154 307.661690484965 0
1952 1 10.3243470310384 4.53814983352117 108.451757344265 437.931497110792 307.723878301797 0
1952 2 9.30981512045609 3.5483841984297 101.507739733852 330.63012493641 307.78615445632 0
1952 3 12.6679028546626 5.00776597633003 224.547580987622 174.027903701871 307.848519257153 0
1952 4 13.1583247088256 3.57017388840639 386.013125992221 87.7440103673352 307.910973012447 0
1952 5 20.7173919115965 8.4189062644734 517.415234917612 18.8325674393938 307.973516029189 0
1952 6 21.592530701438 8.80933025125456 590.676295742419 20.7951302300997 308.036148616811 0
1952 7 26.2332172651249 12.1036313785239 658.233593929829 22.3644296909105 308.09887108265 0
1952 8 25.771679556167 11.0540575785182 621.025155798581 3.51904316666334 308.161683735671 0
1952 9 24.4709219287726 11.3003123289479 450.949410051341 32.1081529915788 308.224586883327 0
1952 10 12.3521492533369 3.88778407805826 229.991279412865 224.249943973427 308.287580833887 0
1952 11 8.35246649340256 3.49439417158334 73.8715500722979 575.500785362289 308.350665895618 0
1952 12 6.96024501715542 0.0516797441565937 130.950103760039 219.034519739591 308.413842376671 0
1953 1 2.80751557122312 -3.84544118516447 92.2784765927916 419.570806494963 308.477110585547 0
1953 2 5.51499291494518 0.052722156779326 106.007795088413 319.2290861455 308.540470830048 0
1953 3 9.37928193354262 2.25428815012999 191.697899532368 443.173016234559 308.60392341821 0
1953 4 9.95229719530987 2.57901592529556 237.31635678114 293.005340913251 308.667468658532 0
1953 5 11.6729226268884 2.96714165024275 362.674796003766 189.789026759203 308.731106858584 0
1953 6 15.8316143437734 4.44648971666489 591.822839150631 15.1415201895281 308.794838327332 0
1953 7 26.7992806874591 12.7506457643585 656.583243736826 17.7176169291041 308.858663372695 0
1953 8 27.2426030063453 13.4195748311869 601.395841462147 24.7129119941767 308.922582302126 0
1953 9 22.6742497427871 9.68314561906562 478.221982185823 3.49851676141869 308.986595424707 0
1953 10 18.5444762221591 8.16797189485064 287.292708311838 52.3118120589814 309.050703048008 0
